metric,topic,start_len,end_len,word_range,auc_resultsTRKeyphrases75_2_simulation_0,auc_topic,aucNorm_resultsTRKeyphrases75_2_simulation_0,score_limit,limit_wordCount_resultsTRKeyphrases75_2_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsTRKeyphrases75_2_simulation_0,wordcount_limit_-inf,limit_F1score_resultsTRKeyphrases75_2_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsTRKeyphrases75_2_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsTRKeyphrases75_2_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsTRKeyphrases75_2_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsTRKeyphrases75_2_simulation_0_350,limit_F1score_avg_350
R1,D0601,105,333,228,68.39639546,68.39639546,0.299984191,0.37,,nan,1,#NAME?,0.23854,0.23854,100,0.2615868,0.2615868,150,0.320663333,0.320663333,250,0.342328824,0.342328824,350,0.337998108,0.337998108
R1,D0603,105,333,228,76.01681735,76.01681735,0.333407094,0.37,200.4108195,200.4108195,0.210988701,#NAME?,0.21638,0.21638,100,0.236335357,0.236335357,150,0.303327818,0.303327818,250,0.40429,0.40429,350,0.408875102,0.408875102
R1,D0605,105,333,228,71.20078048,71.20078048,0.312284125,0.37,235.6080682,235.6080682,0.33924732,#NAME?,0.25782,0.25782,100,0.27203,0.27203,150,0.3176375,0.3176375,250,0.378597391,0.378597391,350,0.388666667,0.388666667
R1,D0608,105,333,228,70.30716197,70.30716197,0.308364745,0.37,425.3657307,425.3657307,0.666077751,#NAME?,0.22664,0.22664,100,0.250035161,0.250035161,150,0.32388,0.32388,250,0.352828065,0.352828065,350,0.361861111,0.361861111
R1,D0614,105,333,228,81.58701526,81.58701526,0.357837786,0.37,180.7654626,180.7654626,0.195235739,#NAME?,0.23915,0.23915,100,0.268786607,0.268786607,150,0.339421148,0.339421148,250,0.411812667,0.411812667,350,0.442509836,0.442509836
R1,D0615,105,333,228,63.7101982,63.7101982,0.279430694,0.37,,nan,1,#NAME?,0.21461,0.21461,100,0.23068375,0.23068375,150,0.28809,0.28809,250,0.320081628,0.320081628,350,0.3405985,0.3405985
R1,D0616,105,333,228,75.64417656,75.64417656,0.331772704,0.37,196.3599633,196.3599633,0.213593678,#NAME?,0.21857,0.21857,100,0.246604386,0.246604386,150,0.344757,0.344757,250,0.388006,0.388006,350,0.401617391,0.401617391
R1,D0617,105,333,228,64.73075301,64.73075301,0.283906811,0.37,,nan,1,#NAME?,0.11051,0.11051,100,0.223064286,0.223064286,150,0.29193,0.29193,250,0.32781,0.32781,350,0.342889,0.342889
R1,D0620,105,333,228,69.86098637,69.86098637,0.306407835,0.37,,nan,1,#NAME?,0.26146,0.26146,100,0.271728571,0.271728571,150,0.320286154,0.320286154,250,0.349480323,0.349480323,350,0.347953529,0.347953529
R1,D0624,105,333,228,80.3335356,80.3335356,0.352340068,0.37,165.0731065,165.0731065,0.15123878,#NAME?,0.25242,0.25242,100,0.271717143,0.271717143,150,0.352395385,0.352395385,250,0.41804,0.41804,350,0.437717727,0.437717727
R1,D0627,105,333,228,71.09900373,71.09900373,0.311837736,0.37,250.1578427,250.1578427,0.459396892,#NAME?,0.07671,0.07671,100,0.233298182,0.233298182,150,0.291319091,0.291319091,250,0.369939811,0.369939811,350,0.375104583,0.375104583
R1,D0628,105,333,228,64.73012731,64.73012731,0.283904067,0.37,332.8187275,332.8187275,0.487834534,#NAME?,0.22902,0.22902,100,,nan,150,0.273625455,0.273625455,250,0.329693934,0.329693934,350,0.372851613,0.372851613
R1,D0629,105,333,228,66.88684832,66.88684832,0.29336337,0.37,,nan,1,#NAME?,0.21594,0.21594,100,0.226386154,0.226386154,150,0.293013929,0.293013929,250,0.334476429,0.334476429,350,0.350599375,0.350599375
R1,D0630,105,333,228,76.26552815,76.26552815,0.334497931,0.37,177.7494178,177.7494178,0.217132366,#NAME?,0.23871,0.23871,100,0.279460351,0.279460351,150,0.35078129,0.35078129,250,0.379742857,0.379742857,350,0.393255532,0.393255532
R1,D0631,105,333,228,75.90480529,75.90480529,0.332915813,0.37,195.5182609,195.5182609,0.25722072,#NAME?,0.26856,0.26856,100,0.28776,0.28776,150,0.331277568,0.331277568,250,0.386818,0.386818,350,0.404977561,0.404977561
R1,D0640,105,333,228,75.06692326,75.06692326,0.329240891,0.37,211.4455446,211.4455446,0.264516992,#NAME?,0.23037,0.23037,100,0.240610851,0.240610851,150,0.321889091,0.321889091,250,0.385288409,0.385288409,350,0.398517838,0.398517838
R1,D0643,105,333,228,77.27125184,77.27125184,0.338908999,0.37,183.539947,183.539947,0.191884583,#NAME?,0.26415,0.26415,100,0.268998333,0.268998333,150,0.338364643,0.338364643,250,0.403113333,0.403113333,350,0.397628085,0.397628085
R1,D0645,105,333,228,76.07764885,76.07764885,0.333673898,0.37,202.8379942,202.8379942,0.217506212,#NAME?,0.24946,0.24946,100,0.252760889,0.252760889,150,0.329277843,0.329277843,250,0.395515789,0.395515789,350,0.405850492,0.405850492
R1,D0647,105,333,228,90.12750245,90.12750245,0.395296063,0.37,131.5105524,131.5105524,0.103578561,#NAME?,0.27749,0.27749,100,0.31112283,0.31112283,150,0.392789512,0.392789512,250,0.4665075,0.4665075,350,0.450364565,0.450364565
R1,D0650,105,333,228,66.4005594,66.4005594,0.291230524,0.37,,nan,1,#NAME?,0.21037,0.21037,100,0.215977031,0.215977031,150,0.272047344,0.272047344,250,0.34308902,0.34308902,350,0.355548491,0.355548491
R1,AVG,105,333,228,73.08090094,73.08090094,0.320530267,0.37,,220.6543884,0.498772642,#NAME?,0.224844,0.224844,100,0.25520772,nan,150,0.319838705,0.319838705,250,0.374372999,0.374372999,350,0.385769255,0.385769255
R1,STD,0,0,0,6.469404766,6.469404766,0.028374582,0.37,,72.43768694,0.350824558,#NAME?,0.048051198,0.048051198,100,0.024255728,nan,150,0.029107656,0.029107656,250,0.036252267,0.036252267,350,0.033622305,0.033622305
R1,BootAvg,,,,,73.04852698,,,,219.345063,,#NAME?,,0.2254345,100,,nan,150,,0.319750688,250,,0.37419315,350,,0.385612668
R1,BootLower,,,,2.748588158,70.29993882,,,,187.1114934,,#NAME?,0.023497113,0.201937388,100,#VALUE!,nan,150,0.012303367,0.307447321,250,0.015728435,0.358464714,350,0.014473954,0.371138713
R1,BootUpper,,,,2.976721749,76.02524873,,,,262.4351112,,#NAME?,0.017968025,0.243402525,100,#VALUE!,nan,150,0.012996217,0.332746905,250,0.016303015,0.390496165,350,0.014970382,0.40058305
,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,D0601,105,333,228,7.960557589,7.960557589,0.034914726,0.06,,nan,1,#NAME?,0.01999,0.01999,100,0.0219192,0.0219192,150,0.026909474,0.026909474,250,0.046444706,0.046444706,350,0.049082973,0.049082973
R2,D0603,105,333,228,12.59573388,12.59573388,0.055244447,0.06,214.2337662,214.2337662,0.23625917,#NAME?,0.04081,0.04081,100,0.042060893,0.042060893,150,0.047217818,0.047217818,250,0.06765,0.06765,350,0.07584449,0.07584449
R2,D0605,105,333,228,16.25561782,16.25561782,0.071296569,0.06,,nan,1,#NAME?,0.06747,0.06747,100,0.06964,0.06964,150,0.0754605,0.0754605,250,0.08988913,0.08988913,350,0.080957778,0.080957778
R2,D0608,105,333,228,10.08299927,10.08299927,0.044223681,0.06,423.5533597,423.5533597,0.662531037,#NAME?,0.0339,0.0339,100,0.036795968,0.036795968,150,0.046010816,0.046010816,250,0.051967419,0.051967419,350,0.051632222,0.051632222
R2,D0614,105,333,228,17.3768004,17.3768004,0.076214037,0.06,103.9786597,103.9786597,0.044968023,#NAME?,0.04904,0.04904,100,0.058102321,0.058102321,150,0.077561475,0.077561475,250,0.086208667,0.086208667,350,0.092356557,0.092356557
R2,D0615,105,333,228,9.932645844,9.932645844,0.043564236,0.06,,nan,1,#NAME?,0.03523,0.03523,100,0.037378125,0.037378125,150,0.04505,0.04505,250,0.047148837,0.047148837,350,0.0537125,0.0537125
R2,D0616,105,333,228,10.6364113,10.6364113,0.046650927,0.06,338.45686,338.45686,0.49112668,#NAME?,0.02862,0.02862,100,0.033318246,0.033318246,150,0.049716,0.049716,250,0.054893,0.054893,350,0.063548261,0.063548261
R2,D0617,105,333,228,14.74346179,14.74346179,0.064664306,0.06,153.1382637,153.1382637,0.275251139,#NAME?,0.02513,0.02513,100,0.044222857,0.044222857,150,0.0592,0.0592,250,0.07619625,0.07619625,350,0.081593,0.081593
R2,D0620,105,333,228,10.55979601,10.55979601,0.046314895,0.06,320.1726106,320.1726106,0.502538118,#NAME?,0.03931,0.03931,100,0.040047143,0.040047143,150,0.045745385,0.045745385,250,0.052326774,0.052326774,350,0.058877451,0.058877451
R2,D0624,105,333,228,16.99161605,16.99161605,0.074524632,0.06,127.6860548,127.6860548,0.076910646,#NAME?,0.02688,0.02688,100,0.036297347,0.036297347,150,0.072131538,0.072131538,250,0.091026226,0.091026226,350,0.095718485,0.095718485
R2,D0627,105,333,228,5.824809037,5.824809037,0.025547408,0.06,,nan,1,#NAME?,0.00754,0.00754,100,0.017977273,0.017977273,150,0.020637727,0.020637727,250,0.032429245,0.032429245,350,0.03498625,0.03498625
R2,D0628,105,333,228,9.889021538,9.889021538,0.043372901,0.06,337.1603875,337.1603875,0.497131451,#NAME?,0.03434,0.03434,100,,nan,150,0.042658182,0.042658182,250,0.049705082,0.049705082,350,0.059491613,0.059491613
R2,D0629,105,333,228,12.40027317,12.40027317,0.054387163,0.06,181.1234568,181.1234568,0.205895927,#NAME?,0.04082,0.04082,100,0.042300769,0.042300769,150,0.053549643,0.053549643,250,0.062401429,0.062401429,350,0.065556563,0.065556563
R2,D0630,105,333,228,10.78572284,10.78572284,0.047305802,0.06,363.878453,363.878453,0.618272528,#NAME?,0.03079,0.03079,100,0.036527895,0.036527895,150,0.047905484,0.047905484,250,0.053538571,0.053538571,350,0.058931064,0.058931064
R2,D0631,105,333,228,15.05090804,15.05090804,0.066012755,0.06,102.4119107,102.4119107,0.034478255,#NAME?,0.05736,0.05736,100,0.059558182,0.059558182,150,0.064278649,0.064278649,250,0.07527,0.07527,350,0.07899561,0.07899561
R2,D0640,105,333,228,14.72544751,14.72544751,0.064585296,0.06,157.5,157.5,0.143018018,#NAME?,0.03542,0.03542,100,0.037402553,0.037402553,150,0.055886364,0.055886364,250,0.077679318,0.077679318,350,0.083715946,0.083715946
R2,D0643,105,333,228,17.24032962,17.24032962,0.075615481,0.06,,nan,1,#NAME?,0.07591,0.07591,100,0.0766675,0.0766675,150,0.083636964,0.083636964,250,0.08683,0.08683,350,0.09056617,0.09056617
R2,D0645,105,333,228,14.05980879,14.05980879,0.061665828,0.06,166.6913738,166.6913738,0.142513224,#NAME?,0.03461,0.03461,100,0.035415333,0.035415333,150,0.054878039,0.054878039,250,0.068094474,0.068094474,350,0.094756557,0.094756557
R2,D0647,105,333,228,27.05014877,27.05014877,0.118641003,0.06,,nan,1,#NAME?,0.08909,0.08909,100,0.098480566,0.098480566,150,0.121613171,0.121613171,250,0.137454063,0.137454063,350,0.141327826,0.141327826
R2,D0650,105,333,228,10.39410635,10.39410635,0.045588186,0.06,463.5913978,463.5913978,0.767898746,#NAME?,0.03875,0.03875,100,0.038467188,0.038467188,150,0.035639063,0.035639063,250,0.056576471,0.056576471,350,0.059224528,0.059224528
R2,AVG,105,333,228,13.22781078,13.22781078,0.058016714,0.06,,246.6840396,0.534939648,#NAME?,0.0405505,0.0405505,100,0.045398914,nan,150,0.056284315,0.056284315,250,0.068186483,0.068186483,350,0.073543792,0.073543792
R2,STD,0,0,0,4.469993499,4.469993499,0.019605235,0.06,,118.884492,0.364171862,#NAME?,0.018759015,0.018759015,100,0.018857316,nan,150,0.021741045,0.021741045,250,0.022668628,0.022668628,350,0.022794252,0.022794252
R2,BootAvg,,,,,13.16630761,,,,245.9162001,,#NAME?,,0.0404595,100,,nan,150,,0.056124474,250,,0.06797153,350,,0.073458804
R2,BootLower,,,,1.716341021,11.44996659,,,,185.6980065,,#NAME?,0.007544,0.0329155,100,,nan,150,0.008730514,0.04739396,250,0.008937499,0.059034031,350,0.009178112,0.064280692
R2,BootUpper,,,,2.119689657,15.28599726,,,,310.5856011,,#NAME?,0.0088646,0.0493241,100,,nan,150,0.010352228,0.066476703,250,0.01115992,0.079131449,350,0.010519067,0.083977871
,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,D0601,105,333,228,59.26368001,59.26368001,0.259928421,0.29,218.2775154,218.2775154,0.266151943,#NAME?,0.20642,0.20642,100,0.2249868,0.2249868,150,0.273746842,0.273746842,250,0.303583529,0.303583529,350,0.289092703,0.289092703
RL,D0603,105,333,228,63.38981306,63.38981306,0.278025496,0.29,183.9439324,183.9439324,0.180884703,#NAME?,0.17581,0.17581,100,0.192781429,0.192781429,150,0.249822727,0.249822727,250,0.33589,0.33589,350,0.347267755,0.347267755
RL,D0605,105,333,228,58.71068348,58.71068348,0.257502998,0.29,213.9537167,213.9537167,0.290144482,#NAME?,0.22206,0.22206,100,0.231076,0.231076,150,0.2730935,0.2730935,250,0.312236522,0.312236522,350,0.314651111,0.314651111
RL,D0608,105,333,228,58.17984535,58.17984535,0.25517476,0.29,236.3570857,236.3570857,0.296197819,#NAME?,0.20367,0.20367,100,0.219374032,0.219374032,150,0.269393673,0.269393673,250,0.292748387,0.292748387,350,0.290673333,0.290673333
RL,D0614,105,333,228,66.63915357,66.63915357,0.292276989,0.29,156.1872333,156.1872333,0.147137443,#NAME?,0.19954,0.19954,100,0.224229821,0.224229821,150,0.284295574,0.284295574,250,0.341628,0.341628,350,0.336576885,0.336576885
