metric,topic,start_len,end_len,word_range,auc_resultsTRKeyphrases75_2_simulation_0,auc_topic,aucNorm_resultsTRKeyphrases75_2_simulation_0,score_limit,limit_wordCount_resultsTRKeyphrases75_2_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsTRKeyphrases75_2_simulation_0,wordcount_limit_-inf,limit_F1score_resultsTRKeyphrases75_2_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsTRKeyphrases75_2_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsTRKeyphrases75_2_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsTRKeyphrases75_2_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsTRKeyphrases75_2_simulation_0_350,limit_F1score_avg_350
RL,D0615,105,333,228,54.08538789,54.08538789,0.237216614,0.29,,nan,1,#NAME?,0.17656,0.17656,100,0.194235,0.194235,150,0.25736,0.25736,250,0.27199093,0.27199093,350,0.273535,0.273535
RL,D0616,105,333,228,62.51985585,62.51985585,0.274209894,0.29,157.4757506,157.4757506,0.13764795,#NAME?,0.19312,0.19312,100,0.213441053,0.213441053,150,0.285684,0.285684,250,0.319543333,0.319543333,350,0.319077826,0.319077826
RL,D0617,105,333,228,54.87476814,54.87476814,0.240678808,0.29,,nan,1,#NAME?,0.09804,0.09804,100,0.187023571,0.187023571,150,0.25352,0.25352,250,0.278575625,0.278575625,350,0.276346,0.276346
RL,D0620,105,333,228,56.3226228,56.3226228,0.247029047,0.29,197.2251755,197.2251755,0.236418129,#NAME?,0.21938,0.21938,100,0.231352571,0.231352571,150,0.266546923,0.266546923,250,0.276574032,0.276574032,350,0.268524118,0.268524118
RL,D0624,105,333,228,67.52374609,67.52374609,0.296156781,0.29,142.5194489,142.5194489,0.106400495,#NAME?,0.20342,0.20342,100,0.221893265,0.221893265,150,0.297100769,0.297100769,250,0.354407547,0.354407547,350,0.362022576,0.362022576
RL,D0627,105,333,228,57.90952439,57.90952439,0.253989142,0.29,224.3604325,224.3604325,0.407905055,#NAME?,0.07109,0.07109,100,0.199232727,0.199232727,150,0.24479,0.24479,250,0.300565283,0.300565283,350,0.293402292,0.293402292
RL,D0628,105,333,228,53.41164154,53.41164154,0.234261586,0.29,309.7171334,309.7171334,0.438366453,#NAME?,0.18919,0.18919,100,,nan,150,0.228476061,0.228476061,250,0.272401803,0.272401803,350,0.303003871,0.303003871
RL,D0629,105,333,228,56.8278126,56.8278126,0.249244792,0.29,,nan,1,#NAME?,0.19131,0.19131,100,0.202550385,0.202550385,150,0.260434107,0.260434107,250,0.280820714,0.280820714,350,0.286892188,0.286892188
RL,D0630,105,333,228,59.99746221,59.99746221,0.263146764,0.29,179.2113442,179.2113442,0.220283069,#NAME?,0.20199,0.20199,100,0.229928947,0.229928947,150,0.277872581,0.277872581,250,0.297784286,0.297784286,350,0.304055957,0.304055957
RL,D0631,105,333,228,63.62286223,63.62286223,0.279047641,0.29,161.3032362,161.3032362,0.175366594,#NAME?,0.22205,0.22205,100,0.240295455,0.240295455,150,0.28056027,0.28056027,250,0.321332,0.321332,350,0.340099756,0.340099756
RL,D0640,105,333,228,65.33170053,65.33170053,0.286542546,0.29,154.5114998,154.5114998,0.136287162,#NAME?,0.20396,0.20396,100,0.212762128,0.212762128,150,0.284293636,0.284293636,250,0.336273864,0.336273864,350,0.335773784,0.335773784
RL,D0643,105,333,228,64.25136505,64.25136505,0.281804233,0.29,143.8974943,143.8974943,0.103985575,#NAME?,0.23222,0.23222,100,0.236536667,0.236536667,150,0.29334875,0.29334875,250,0.32959,0.32959,350,0.316723617,0.316723617
RL,D0645,105,333,228,62.86508783,62.86508783,0.275724069,0.29,174.0124658,174.0124658,0.157702211,#NAME?,0.21936,0.21936,100,0.221610667,0.221610667,150,0.274514314,0.274514314,250,0.323899211,0.323899211,350,0.331643934,0.331643934
RL,D0647,105,333,228,76.23758179,76.23758179,0.334375359,0.29,110.7852087,110.7852087,0.060220102,#NAME?,0.2524,0.2524,100,0.275912075,0.275912075,150,0.338784878,0.338784878,250,0.389611875,0.389611875,350,0.377627609,0.377627609
RL,D0650,105,333,228,54.70006251,54.70006251,0.239912555,0.29,,nan,1,#NAME?,0.18667,0.18667,100,0.190423125,0.190423125,150,0.227954375,0.227954375,250,0.279362353,0.279362353,350,0.285904151,0.285904151
RL,AVG,105,333,228,60.83323285,60.83323285,0.266812425,0.29,,185.2336671,0.368054959,#NAME?,0.193413,0.193413,100,0.218402406,nan,150,0.271079649,0.271079649,250,0.310940965,0.310940965,350,0.312644723,0.312644723
RL,STD,0,0,0,5.487959636,5.487959636,0.024069998,0.29,,46.14616219,0.329371251,#NAME?,0.040799024,0.040799024,100,0.020976934,nan,150,0.024423045,0.024423045,250,0.030647171,0.030647171,350,0.029908754,0.029908754
RL,BootAvg,,,,,60.7883964,,,,184.5241422,,#NAME?,,0.19406475,100,,nan,150,,0.271008371,250,,0.310845198,350,,0.312608379
RL,BootLower,,,,2.227343967,58.56105243,,,,163.7177314,,#NAME?,0.020371988,0.173692763,100,,nan,150,0.010293013,0.260715358,250,0.012629817,0.29821538,350,0.012772999,0.29983538
RL,BootUpper,,,,2.547740048,63.33613645,,,,209.1332737,,#NAME?,0.015128863,0.209193613,100,,nan,150,0.011150538,0.282158908,250,0.014095246,0.324940444,350,0.013262568,0.325870947
,,,,,,,,,,,,,,,,,,,,,,,,,,
RSU,D0601,105,333,228,19.67278706,19.67278706,0.086284154,0.11,276.0071174,276.0071174,0.382308083,#NAME?,0.03891,0.03891,100,0.0511936,0.0511936,150,0.08533193,0.08533193,250,0.107850588,0.107850588,350,0.107385405,0.107385405
RSU,D0603,105,333,228,23.92245776,23.92245776,0.10492306,0.11,190.594702,190.594702,0.193043331,#NAME?,0.03422,0.03422,100,0.045400357,0.045400357,150,0.082137273,0.082137273,250,0.14077,0.14077,350,0.142555918,0.142555918
RSU,D0605,105,333,228,21.37138203,21.37138203,0.093734132,0.11,207.2745843,207.2745843,0.274999057,#NAME?,0.04917,0.04917,100,0.05813,0.05813,150,0.088634,0.088634,250,0.130028043,0.130028043,350,0.13177,0.13177
RSU,D0608,105,333,228,21.79462389,21.79462389,0.095590456,0.11,212.4692861,212.4692861,0.249450658,#NAME?,0.0403,0.0403,100,0.052406452,0.052406452,150,0.091249796,0.091249796,250,0.120938387,0.120938387,350,0.123636,0.123636
RSU,D0614,105,333,228,29.6413233,29.6413233,0.130005804,0.11,153.647508,153.647508,0.142167335,#NAME?,0.04255,0.04255,100,0.060827321,0.060827321,150,0.10702459,0.10702459,250,0.161866667,0.161866667,350,0.173372459,0.173372459
RSU,D0615,105,333,228,18.94367227,18.94367227,0.083086282,0.11,304.371179,304.371179,0.480993786,#NAME?,0.03684,0.03684,100,0.046108438,0.046108438,150,0.07921,0.07921,250,0.103604651,0.103604651,350,0.113147,0.113147
RSU,D0616,105,333,228,25.21088503,25.21088503,0.110574057,0.11,168.4514107,168.4514107,0.159084786,#NAME?,0.03616,0.03616,100,0.049442807,0.049442807,150,0.098228,0.098228,250,0.143229333,0.143229333,350,0.151955,0.151955
RSU,D0617,105,333,228,17.02648538,17.02648538,0.074677567,0.11,323.1071429,323.1071429,0.652122268,#NAME?,0.00712,0.00712,100,0.038890714,0.038890714,150,0.06823,0.06823,250,0.091485,0.091485,350,0.11251,0.11251
RSU,D0620,105,333,228,21.92747952,21.92747952,0.096173156,0.11,182.0140306,182.0140306,0.203493573,#NAME?,0.05008,0.05008,100,0.056676571,0.056676571,150,0.089126923,0.089126923,250,0.123552258,0.123552258,350,0.118887647,0.118887647
RSU,D0624,105,333,228,28.53693448,28.53693448,0.125161993,0.11,152.7444444,152.7444444,0.126728518,#NAME?,0.04844,0.04844,100,0.059280612,0.059280612,150,0.10753,0.10753,250,0.168066038,0.168066038,350,0.175912121,0.175912121
RSU,D0627,105,333,228,21.68292137,21.68292137,0.095100532,0.11,221.4038462,221.4038462,0.402003685,#NAME?,0.00324,0.00324,100,0.046117273,0.046117273,150,0.076263182,0.076263182,250,0.12126717,0.12126717,350,0.1309425,0.1309425
RSU,D0628,105,333,228,18.76965244,18.76965244,0.082323037,0.11,281.7721843,281.7721843,0.378527161,#NAME?,0.04395,0.04395,100,,nan,150,0.068551818,0.068551818,250,0.103895574,0.103895574,350,0.129344839,0.129344839
RSU,D0629,105,333,228,19.35958591,19.35958591,0.084910465,0.11,281.0879121,281.0879121,0.439457739,#NAME?,0.03568,0.03568,100,0.040730769,0.040730769,150,0.075154643,0.075154643,250,0.104774286,0.104774286,350,0.119305313,0.119305313
RSU,D0630,105,333,228,25.02941586,25.02941586,0.10977814,0.11,160.0883514,160.0883514,0.179069723,#NAME?,0.04033,0.04033,100,0.061562632,0.061562632,150,0.103406774,0.103406774,250,0.137995714,0.137995714,350,0.145248085,0.145248085
RSU,D0631,105,333,228,25.27385648,25.27385648,0.110850248,0.11,159.7241739,159.7241739,0.171588933,#NAME?,0.05332,0.05332,100,0.065647273,0.065647273,150,0.102444054,0.102444054,250,0.142678,0.142678,350,0.146391707,0.146391707
RSU,D0640,105,333,228,24.96758261,24.96758261,0.109506941,0.11,179.7856465,179.7856465,0.193210916,#NAME?,0.03977,0.03977,100,0.045168723,0.045168723,150,0.088861818,0.088861818,250,0.142362955,0.142362955,350,0.15096027,0.15096027
RSU,D0643,105,333,228,25.70358217,25.70358217,0.11273501,0.11,171.5166625,171.5166625,0.165225416,#NAME?,0.05308,0.05308,100,0.055535833,0.055535833,150,0.094665536,0.094665536,250,0.152183333,0.152183333,350,0.15030617,0.15030617
RSU,D0645,105,333,228,25.8987563,25.8987563,0.113591036,0.11,170.9331777,170.9331777,0.151313647,#NAME?,0.04871,0.04871,100,0.050599778,0.050599778,150,0.095933725,0.095933725,250,0.149478421,0.149478421,350,0.153973115,0.153973115
RSU,D0647,105,333,228,35.88394425,35.88394425,0.15738572,0.11,126.578442,126.578442,0.093260339,#NAME?,0.05569,0.05569,100,0.077619434,0.077619434,150,0.134257561,0.134257561,250,0.206689063,0.206689063,350,0.200191957,0.200191957
RSU,D0650,105,333,228,20.47031843,20.47031843,0.089782098,0.11,224.2481752,224.2481752,0.269267032,#NAME?,0.03725,0.03725,100,0.040120313,0.040120313,150,0.068823438,0.068823438,250,0.116225882,0.116225882,350,0.123507547,0.123507547
RSU,AVG,105,333,228,23.55438233,23.55438233,0.103308694,0.11,,207.3909989,0.265365799,#NAME?,0.0397405,0.0397405,100,0.052708363,nan,150,0.090253253,0.090253253,250,0.133447068,0.133447068,350,0.140065153,0.140065153
RSU,STD,0,0,0,4.341489074,4.341489074,0.019041619,0.11,,55.54692351,0.14155431,#NAME?,0.013165167,0.013165167,100,0.009559293,nan,150,0.015828568,0.015828568,250,0.026482321,0.026482321,350,0.023327467,0.023327467
RSU,BootAvg,,,,,23.52970688,,,,206.7932097,,#NAME?,,0.0399685,100,,nan,150,,0.090130083,250,,0.133190986,350,,0.139930974
RSU,BootLower,,,,1.761516857,21.76819002,,,,183.8721574,,#NAME?,0.006624025,0.033344475,100,,nan,150,0.006357223,0.08377286,250,0.010999101,0.122191885,350,0.009693493,0.13023748
RSU,BootUpper,,,,2.046026741,25.57573362,,,,231.6670712,,#NAME?,0.005003625,0.044972125,100,,nan,150,0.007334949,0.097465032,250,0.012238516,0.145429502,350,0.010792513,0.150723486
,,,,,,,,,,,,,,,,,,,,,,,,,,
litepyramid,D0601,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0603,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0605,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0608,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0614,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0615,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0616,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0617,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0620,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0624,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0627,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0628,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,,nan,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0629,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0630,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0631,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0640,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0643,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0645,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0647,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,D0650,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,-1,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,AVG,105,333,228,-228,-228,-1,0.5,,nan,1,#NAME?,-1,-1,100,-1,nan,150,-1,-1,250,-1,-1,350,-1,-1
litepyramid,STD,0,0,0,0,0,0,0.5,,nan,0,#NAME?,0,0,100,0,nan,150,0,0,250,0,0,350,0,0
litepyramid,BootAvg,,,,,-228,,,,nan,,#NAME?,,-1,100,,nan,150,,-1,250,,-1,350,,-1
litepyramid,BootLower,,,,,-228,,,,nan,,#NAME?,,-1,100,,nan,150,,-1,250,,-1,350,,-1
litepyramid,BootUpper,,,,,-228,,,,nan,,#NAME?,,-1,100,,nan,150,,-1,250,,-1,350,,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
metric,topic,num_ratings_per_session_avg,num_ratings_per_session_std,initial_rating_avg,initial_rating_std,response_rating_avg,response_rating_std,total_rating_avg,total_rating_std,,,,,,,,,,,,,,,,,
rating,AVG,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
metric,topic,numSessionsWithRating,r1_rating_avg,r1_rating_std,r2_rating_avg,r2_rating_std,umuxLiteScore_avg,umuxLiteScore_std,r3_rating_avg,r3_rating_std,,,,,,,,,,,,,,,,
